Ticker,Company_Name,Stock_Index
UPR.L,Uniphar,FTSE_AIM
HTG.L,Hunting,FTSE_250
FSG.L,Foresight Group Holdings Ltd,FTSE_250
EWI.L,Edinburgh Worldwide Investment Trust,FTSE_250
HWG.L,Harworth Group,FTSE_250
ESP.L,Empiric Student Property,FTSE_250
HET.L,Henderson European Trust,FTSE_250
SHED.L,Urban Logistics REIT,FTSE_250
FGEN.L,Foresight Environmental Infrastructure Ltd,FTSE_250
BRGE.L,BlackRock Greater Europe Investment Trust,FTSE_250
DSCV.L,Discoverie Group,FTSE_250
PRSR.L,PRS REIT,FTSE_250
VLX.L,Volex Group,FTSE_AIM
TKO.L,Taseko Mines Ltd,FTSE_ALL
CWR.L,Ceres Power Holdings,FTSE_Small_Cap
RWS.L,RWS Holdings,FTSE_AIM
BMY.L,Bloomsbury Publishing,FTSE_250
EBOX.L,Tritax Eurobox,FTSE_250
SQZ.L,Serica Energy,FTSE_AIM
CBG.L,Close Brothers Group,FTSE_250
CHRY.L,Chrysalis Investment Ltd,FTSE_Small_Cap
WPS.L,W.A.G Payment Solutions,FTSE_250
JEDT.L,JPMorgan European Discovery Trust,FTSE_250
ATYM.L,Atalaya Mining,FTSE_ALL
THRL.L,Target Healthcare REIT Ltd,FTSE_250
PHI.L,Pacific Horizon Investment Trust,FTSE_250
EOT.L,European Opportunities Trust,FTSE_250
THRG.L,Blackrock Throgmorton Trust,FTSE_250
SNR.L,Senior,FTSE_250
IPO.L,IP Group,FTSE_250
PCFT.L,Polar Capital Global Financials Trust,FTSE_250
GDWN.L,Goodwin,FTSE_250
DOCS.L,Dr. Martens,FTSE_250
BOWL.L,Hollywood Bowl Group,FTSE_250
NCC.L,NCC Group,FTSE_250
NAS.L,North Atlantic Smaller Companies Inv Trust,FTSE_250
FEML.L,Fidelity Emerging Markets Ltd,FTSE_250
FSFL.L,Foresight Solar Fund Ltd,FTSE_250
ASC.L,ASOS,FTSE_Small_Cap
RWI.L,Renewi,FTSE_250
OCN.L,Ocean Wilson Holdings,FTSE_Small_Cap
POLR.L,Polar Capital Holdings,FTSE_AIM
IPX.L,IMPAX Asset Management Group,FTSE_AIM
CER.L,Cerillion,FTSE_AIM
BOKU.L,Boku Inc,FTSE_AIM
YOU.L,YouGov,FTSE_AIM
ATG.L,Auction Technology Group,FTSE_250
STEM.L,SThree,FTSE_250
MPE.L,M.P. Evans Group,FTSE_AIM
FDP.L,FD Technologies,FTSE_AIM
YNGN.L,Young & Co's Brewery,FTSE_AIM
YNGA.L,Young & Co's Brewery,FTSE_AIM
PPH.L,PPHE Hotel Group Ltd,FTSE_250
PAY.L,PayPoint,FTSE_Small_Cap
AT.L,Ashtead Technology Holdings,FTSE_AIM
FCH.L,Funding Circle Holdings,FTSE_Small_Cap
CRST.L,Crest Nicholson Holdings Ltd,FTSE_250
LSC.L,London Security,FTSE_AIM
MTRO.L,Metro Bank Holdings,FTSE_Small_Cap
CGI.L,Canadian General Investments Ltd,FTSE_ALL
PAC.L,Pacific Assets Trust,FTSE_Small_Cap
PCGH.L,Polar Capital Global Healthcare Trust,FTSE_Small_Cap
ATR.L,Schroder Asian Total Return Investment Company,FTSE_Small_Cap
NESF.L,NextEnergy Solar Fund Ltd,FTSE_250
JUP.L,Jupiter Fund Management,FTSE_250
NFG.L,Next 15 Group,FTSE_AIM
JUGI.L,JPMorgan UK Small Cap Growth & Income,FTSE_Small_Cap
MCG.L,Mobico Group,FTSE_Small_Cap
ORIT.L,Octopus Renewables Infrastructure Trust,FTSE_Small_Cap
DEC.L,Diversified Energy Company,FTSE_Small_Cap
FDM.L,FDM Group Holdings,FTSE_Small_Cap
AMS.L,Advanced Medical Solutions Group,FTSE_AIM
POLN.L,Pollen Street Group,FTSE_Small_Cap
AAS.L,Abrdn Asia Focus,FTSE_Small_Cap
JEGI.L,JPMorgan European Growth & Income,FTSE_Small_Cap
PINT.L,Pantheon Infrastructure,FTSE_Small_Cap
AIE.L,Ashoka India Equity Investment Trust,FTSE_Small_Cap
ESNT.L,Essentra,FTSE_250
ABDP.L,AB Dynamics,FTSE_AIM
MAB1.L,Mortgage Advice Bureau Holdings Ltd,FTSE_AIM
NAIT.L,North American Income Trust,FTSE_Small_Cap
UEM.L,Utilico Emerging Markets Trust,FTSE_Small_Cap
PBEE.L,Pensionbee Group,FTSE_ALL
OAP3.L,Octopus Apollo VCT 3,FTSE_ALL
OXB.L,Oxford BioMedica,FTSE_Small_Cap
BOO.L,Boohoo Group,FTSE_AIM
JCH.L,JPMorgan Claverhouse Investment Trust,FTSE_Small_Cap
W7L.L,Warpaint London,FTSE_AIM
DIG.L,Dunedin Income Growth Inv Trust,FTSE_Small_Cap
RNK.L,Rank Group,FTSE_Small_Cap
ANII.L,abrdn New India Investment Trust,FTSE_Small_Cap
PCTN.L,Picton Property Income Ltd,FTSE_Small_Cap
TFW.L,Thorpe (F W),FTSE_AIM
JEMI.L,JPMorgan Global Emerging Markets Income Trust,FTSE_Small_Cap
TAM.L,Tatton Asset Management,FTSE_AIM
